date,title,jurisdiction,proceeding_docket,filing_type,file_path
2020-01-06,Vehicle-to-Grid (V2G) Alternating Current (AC) Interconnection Subgroup Report Comments,California,,Comments,filings/2020-01-06_Vehicle-to-Grid-V2G-Alternating-Current-AC-Interconnection.pdf
2020-01-27,Vehicle-to-Grid (V2G) Alternating Current (AC) Interconnection Subgroup Report Reply Comments,California,,Reply Comments,filings/2020-01-27_Vehicle-to-Grid-V2G-Alternating-Current-AC-Interconnection.pdf
2020-01-30,2020 Microgrid Staff & IOU Proposals & Strategies Comments,California,,Comments,filings/2020-01-30_2020-Microgrid-Staff-IOU-Proposals-Strategies-Comments.pdf
2020-03-06,Transportation Electrification Framework (TEF) Staff Proposal Sections 2-5 Comments,California,,Comments,filings/2020-03-06_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-04-01,Vehicle-Grid Integration (VGI) Working Group Informal Response to Staff Questions on Policy Recommendations,California,,Response,filings/2020-04-01_Vehicle-Grid-Integration-VGI-Working-Group-Informal.pdf
2020-04-27,Transportation Electrification Framework (TEF) Staff Proposal Sections 2-5 Reply Comments,California,R.18-12-006,Reply Comments,filings/2020-04-27_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-05-07,Vehicle-Grid Integration (VGI) Working Group Informal Response to PUC Question C,California,,Response,filings/2020-05-07_Vehicle-Grid-Integration-VGI-Working-Group-Informal.docx
2020-05-11,Transportation Electrification Framework (TEF) Staff Proposal Sections 3.4 and 11.3 Comments,California,,Comments,filings/2020-05-11_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-06-19,Transportation Electrification Framework (TEF) Staff Proposal Sections 3.4 and 11.3 Reply Comments,California,,Reply Comments,filings/2020-06-19_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-07-14,Transportation Electrification Framework (TEF) Staff Proposal Sections 7 and 8 Comments,California,,Comments,filings/2020-07-14_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-07-15,CEC Integrated Energy Policy Report (IEPR) Scaling VGI Workshop Comments,California,,Comments,filings/2020-07-15_CEC-Integrated-Energy-Policy-Report-IEPR-Scaling-VGI.pdf
2020-07-27,Self-Generation Incentive Program (SGIP) Motion for Party Status,California,,Motion,filings/2020-07-27_Self-Generation-Incentive-Program-SGIP-Motion-for-Party.pdf
2020-08-07,Transportation Electrification Framework (TEF) Staff Proposal Sections 7 and 8 Reply Comments,California,,Reply Comments,filings/2020-08-07_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-08-14,Microgrids Track 2 Staff Proposal Comments,California,,Comments,filings/2020-08-14_Microgrids-Track-2-Staff-Proposal-Comments.pdf
2020-08-17,Vehicle-Grid Integration (VGI) Issues Joint Comments,California,,Comments,filings/2020-08-17_Vehicle-Grid-Integration-VGI-Issues-Joint-Comments.pdf
2020-08-21,"Transportation Electrification Framework (TEF) Staff Proposal Sections 6, 11.1, and 11.2 Comments",California,,Comments,filings/2020-08-21_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-08-31,Vehicle-Grid Integration (VGI) Issues Joint Reply Comments,California,,Reply Comments,filings/2020-08-31_Vehicle-Grid-Integration-VGI-Issues-Joint-Reply-Comments.pdf
2020-09-04,"Transportation Electrification Framework (TEF) Staff Proposal Sections 6, 11.1, and 11.2 Reply Comments",California,,Reply Comments,filings/2020-09-04_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-09-09,"Rule 21 Working Group 3, 4, and V2G-AC Subgroup Proposed Decision Comments",California,,Comments,filings/2020-09-09_Rule-21-Working-Group-3-4-and-V2G-AC-Subgroup-Proposed.pdf
2020-09-11,"Transportation Electrification Framework (TEF) Staff Proposal Sections 9, 10, and 12 Comments",California,,Comments,filings/2020-09-11_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-09-16,Self-Generation Incentive Program (SGIP) Scoping Memo Joint Comments,California,,Comments,filings/2020-09-16_Self-Generation-Incentive-Program-SGIP-Scoping-Memo-Joint.pdf
2020-09-25,"Transportation Electrification Framework (TEF) Staff Proposal Sections 9, 10, and 12 Reply Comments",California,,Reply Comments,filings/2020-09-25_Transportation-Electrification-Framework-TEF-Staff-Proposal.pdf
2020-10-23,Self-Generation Incentive Program (SGIP) Scoping Memo Reply Comments,California,,Reply Comments,filings/2020-10-23_Self-Generation-Incentive-Program-SGIP-Scoping-Memo-Reply.pdf
2020-11-30,PG&E Application for Day-Ahead Hourly Real Time Pricing Pilot Response,California,,Response,filings/2020-11-30_PG-E-Application-for-Day-Ahead-Hourly-Real-Time-Pricing.pdf
2020-12-03,Implementation of SB 676 and VGI Strategies Proposed Decision Joint Comments,California,,Comments,filings/2020-12-03_Implementation-of-SB-676-and-VGI-Strategies-Proposed.pdf
2020-12-08,Implementation of SB 676 and VGI Strategies Proposed Decision Joint Reply Comments,California,,Reply Comments,filings/2020-12-08_Implementation-of-SB-676-and-VGI-Strategies-Proposed.pdf
2021-01-04,PG&E Motion to Consolidate Real-Time Pricing Issues Into Single Proceeding Response,California,,Response,filings/2021-01-04_PG-E-Motion-to-Consolidate-Real-Time-Pricing-Issues-Into.pdf
2021-02-05,Implementation of AB 841 Comments,California,,Comments,filings/2021-02-05_Implementation-of-AB-841-Comments.pdf
2021-02-05,Emergency Reliability Order Instituting Rulemaking (OIR) Opening Brief,California,,Brief,filings/2021-02-05_Emergency-Reliability-Order-Instituting-Rulemaking-OIR.pdf
2021-02-19,Implementation of AB 841 Reply Comments,California,,Reply Comments,filings/2021-02-19_Implementation-of-AB-841-Reply-Comments.pdf
2021-03-15,Emergency Reliability Order Instituting Rulemaking (OIR) Proposed Decision (PD) Comments,California,,Comments,filings/2021-03-15_Emergency-Reliability-Order-Instituting-Rulemaking-OIR.pdf
2021-03-18,PG&E Establishment of Rule 29 Pursuant to AB 841 Advice Letter Response,California,Advice Letter 6102-E,Response,filings/2021-03-18_PG-E-Establishment-of-Rule-29-Pursuant-to-AB-841-Advice.pdf
2021-03-18,SDG&E Establishment of Rule 45 Pursuant to AB 841 Advice Letter Response,California,Advice Letter 3705-E,Response,filings/2021-03-18_SDG-E-Establishment-of-Rule-45-Pursuant-to-AB-841-Advice.pdf
2021-03-18,SCE Establishment of Rule 29 Pursuant to AB 841 Advice Letter Response,California,Advice Letter 4429-E,Response,filings/2021-03-18_SCE-Establishment-of-Rule-29-Pursuant-to-AB-841-Advice.pdf
